docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;selection
doc#552;1841-1947;5_PROSA_PIRANDELLO_L'ESCLUSA;PROSA;Luigi Pirandello;L'esclusa;1901;;Avaro ? Nemmen per sogno ! Era capace , per quel ninnolo di pochi bajocchi , di mandare in frantumi;mezza casa;. In tanti anni di matrimonio , ella era riuscita con le dolci maniere ad ammansarlo un po ' ,;non_ev
doc#365;1692-1840;4_PERS_LEOPARDI_EPISTOLARIO;PERSONALI;Giacomo Leopardi;Epistolario;1810-1837;;lo scrupolo anche maggiore di avere un segreto per te . Questo secondo la vince . Sarà una settimana e;mezza che;faccio l ' amore , di quello finto però , mentre il vero è sempre per Mariuccia , e sento;-
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;' incorpori , aggiungete una mezza chiara , poi l ' altra metà dello zucchero e appresso l ' ultima;mezza chiara;. Otterrete , così lavorato , un impasto omogeneo e di giusta consistenza che potrete foggiare a bastone per tagliarlo;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;con una mano . Dopo versatelo in un vaso e , mantrugiando sempre perché s ' incorpori , aggiungete una;mezza chiara;, poi l ' altra metà dello zucchero e appresso l ' ultima mezza chiara . Otterrete , così lavorato;non_ev
doc#420;1692-1840;4_PROSA_PELLICO_PRIGIONI;PROSA;Silvio Pellico;Le mie prigioni;1832;;tirarono in giù la pelle , e fasciarono . Per parecchi giorni non si diede al malato se non qualche;mezza chicchera;di brodo con torlo d ' uovo sbattuto . E quando fu passato il pericolo della febbre vulneraria , cominciarono;non_ev
doc#362;1692-1840;4_PERS_BELLI_LETTERE;PERSONALI;Giuseppe Gioacchino Belli;Lettere;1814-1837;;500 . Forse mi arresterò un momento : forse non mi arresterò . Leggi intanto la dozzina che mancava alla;mezza chiliade;, e più tardi verrò io a riprenderla per porla in collegio . Ieri sarei venuto : ma che tempo;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;chilogrammo all ' incirca , steccatelo con lardone e quattro chiodi di garofani , legatelo e mettetelo al fuoco con;mezza cipolla;tagliata a fette sottili , burro e olio in quantità eguali e salatelo . Rosolatelo da tutte le parti e;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;il pezzo sia di un chilogrammo all ' incirca , eccovi le proporzioni del condimento . Fate un battuto con;mezza cipolla;, la metà di una grossa carota , due costole di sedano bianco lunghe un palmo , un pizzico di;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;, o più d ' una , se è debole . Mettete la carne al fuoco col detto burro ,;mezza cipolla;"tagliata in quattro spicchi e una carota a pezzetti ; sale e pepe per condimento . Quando la carne sarà";non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;il pollo al fuoco con un po ' di marsala , levandolo appena abbia ripreso il bollore . Tritate minutamente;mezza cipolla;e mettetela in una cazzaruola con un pezzetto di burro e quattro o cinque fettine di prosciutto larghe un dito;non_ev
