docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;pos
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;di riprodurli , e gli uni sempre in pieno contatto cogli altri . E quand ' anche passano rigenerati i;semi contagiosi;da un paese all ' altro vicino , e regni il morbo appiccaticcio epidemico , in niun luogo chiuso mai;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;operosi e di rendere minore l ' opportunita ' nel filugello a pascere ed a moltiplicare in se ' i;semi contagiosi;"; minore il numero delle riproduzioni , minore quello dei germi riprodotti in ciascuna singola generazione , maggiore il numero";-
doc#356;1692-1840;4_ESP_PALMERI_CALENDARIO DELLO AGRICOLTORE SICILIANO;ESPOSITIVI;Niccolò Palmeri;Calendario dello agricoltore siciliano;1829;;. Descrizione . La digitale purpurea è una delle piante a due stami maggiori e due minori , ed a;semi coperti;"( didinamia angiospermia ) . Ha essa una radice fusiforme , biennale ; uno stelo angoloso , peloso , rossastro";-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;l ' acqua di loro vegetazione ed essicandosi si convertono per la maggior parte in un polviscolo che contiene i;semi copiosissimi;degli stessi funghi parassiti assieme al rottame dei loro steli : questi semi o germi abbandonando al piu ' piccolo;-
doc#479;1841-1947;5_ESP_LOMBROSO_L'UOMO DELINQUENTE;ESPOSITIVI;Cesare Lombroso;L'uomo delinquente;1876;;", e raddoppiare nei reati ; sicché la pena stessa e il mezzo per conseguirla sono un ' altra forma";semi criminosa;, che , notisi poi , pesa tutta sulle spalle degli onesti , i quali , come in Italia ,;ev
doc#516;1841-1947;5_POES_D'ANNUNZIO_LAUDI;POESIA;Gabriele D'annunzio;Laudi;1903-35;;mattone spogliata ma grande , vidi tra gli stìpiti eretti della Porta Marina mirabili spiche ondeggiare non certo nate da;semi cui;"sparsi avesse man d ' uomo . Non lungi era il Tevere torvo fra deserti argini ; e le negre";-
doc#239;1533-1691;3_ESP_ANTONIANO_TRE LIBRI DELL'EDUCAZIONE CHRISTIANA DEI FIGLIUOLI;ESPOSITIVI;Silvio Antoniano;Tre libri dell'educazione christiana dei figliuoli;1584;;che hanno conformità con la natura , come è la virtù ? conciosia che nell ' huomo restino anchora molti;semi d;' una certa inclinatione al bene , al giusto , et all ' honesto , ma questi semi per loro;-
doc#239;1533-1691;3_ESP_ANTONIANO_TRE LIBRI DELL'EDUCAZIONE CHRISTIANA DEI FIGLIUOLI;ESPOSITIVI;Silvio Antoniano;Tre libri dell'educazione christiana dei figliuoli;1584;;d ' haverne , etiandio togliendone di nascosto dove possono . Ma cosi come lo instillar nella tenera fanciullezza questi;semi d;' avaritia non par ben fatto , cosi all ' incontro quando il giovanetto è pervenuto all ' uso di;-
doc#239;1533-1691;3_ESP_ANTONIANO_TRE LIBRI DELL'EDUCAZIONE CHRISTIANA DEI FIGLIUOLI;ESPOSITIVI;Silvio Antoniano;Tre libri dell'educazione christiana dei figliuoli;1584;;I FANCIULLI ALLA VIRTÙ , ET AL VITIO . Quantunque per la corrutione della natura humana , siano in noi;semi d;' ogni peccato , nondimeno non ha dubbio , che alcuni difetti sono più proprii d ' una età ,;-
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;beate e sante , con bella gratitudine s ' ingegna di rispondere in parte a grazie tante . Di bei;semi d;' amor gravida impregna e partorisce a que ' begli occhi avante . Ringiovenì natura e primavera germogliò d ';-
doc#472;1841-1947;5_ESP_BALBO_DELLE SPERANZE D'ITALIA;ESPOSITIVI;Cesare Balbo;Delle speranze d'Italia;1845;;non è indipendenza , la libertà potesse valere ad altro che ad acquistarla ! Alessandro pose in terreno fecondo i;semi d;"' un frutto amaro per lui ; pose le fondamenta , e lasciò l ' addentellato d ' un edifizio";-
doc#529;1841-1947;5_POES_PASCOLI_CANTI DI CASTELVECCHIO;POESIA;Giovanni Pascoli;Canti di Castelvecchio;1903;;chicchi . Guardai per tutto . Ad ogni poco c ' era un mucchiarello . Erano i semi , i;semi d;' erba lupina . Avean rumato poco ? Non un chicco , ch ' è un chicco , era rimasto;-
doc#532;1841-1947;5_POES_PASCOLI_NUOVI POEMETTI;POESIA;Giovanni Pascoli;Nuovi poemetti;1909;;stanco è d ' aspettare , e siede sullo staggio mostrando tutto il folto petto bianco . Né prende i;semi d;' acero e di faggio tra le zampine , e pensa che l ' estate finisce , ed ei non;-
doc#532;1841-1947;5_POES_PASCOLI_NUOVI POEMETTI;POESIA;Giovanni Pascoli;Nuovi poemetti;1909;;fecondo rito . Recava in grembo i bei rotelli e l ' accia . Rosa ristié vedendo già fiorito di;semi d;' oro , tanti semi , il panno . Pensava : - Allora avrò l ' anello al dito ,;-
doc#239;1533-1691;3_ESP_ANTONIANO_TRE LIBRI DELL'EDUCAZIONE CHRISTIANA DEI FIGLIUOLI;ESPOSITIVI;Silvio Antoniano;Tre libri dell'educazione christiana dei figliuoli;1584;;, intesa propriamente per quella diligenza che si deve usar per introdur pian piano ne gli animi teneri infantili i;semi dalla;virtù , eccitando et nutrendo quelli che la natura ci ha inseriti , et per contrario chiudendo la porta à;-
doc#296;1533-1691;3_PROSA_BANDELLO_NOVELLE;PROSA;Matteo Bandello;Novelle;1554-73;;"nel Patrimonio potentissima , ed altresì la casa da Este ; ma per tutta Italia sparsero in molte schiatte i";semi de;la loro nobiltà , - e l ' essersi parlato d ' Alboino loro re , m ' invita a;-
doc#313;1533-1691;3_SCIENT_REDI_ESPERIENZE INTORNO ALLA GENERAZIONE DEGLI INSETTI;SCIENTIFICI;Francesco Redi;Esperienze intorno alla generazione degli insetti;1668;;e da ' vermi le mosche , purché su quegli dalle stesse mosche sieno stati partoriti i vermi o i;semi de;' vermi . Io non intendo già come que ' sottilissimi vermi descritti dal Chircher si trasformino in picciole mosche;-
